eid	filename	class_mark	sort_class_mark
122889	MS-DAR-00003-000-00160.jpg	DAR 3: 254v	DAR 00003: 00254V
122302	MS-DAR-00003-000-00161.jpg	DAR 3: 255r	DAR 00003: 00255R
122891	MS-DAR-00003-000-00162.jpg	DAR 3: 255v	DAR 00003: 00255V
122303	MS-DAR-00003-000-00163.jpg	DAR 3: 255ar	DAR 00003: 00255z_AR
122892	MS-DAR-00003-000-00164.jpg	DAR 3: 255av	DAR 00003: 00255z_AV
122304	MS-DAR-00003-000-00165.jpg	DAR 3: 256r	DAR 00003: 00256R
122893	MS-DAR-00003-000-00166.jpg	DAR 3: 256v	DAR 00003: 00256V
122305	MS-DAR-00003-000-00167.jpg	DAR 3: 257r	DAR 00003: 00257R
122894	MS-DAR-00003-000-00168.jpg	DAR 3: 257v	DAR 00003: 00257V
122306	MS-DAR-00003-000-00169.jpg	DAR 3: 258r	DAR 00003: 00258R
122895	MS-DAR-00003-000-00170.jpg	DAR 3: 258v	DAR 00003: 00258V
122307	MS-DAR-00003-000-00171.jpg	DAR 3: 259r	DAR 00003: 00259R
122896	MS-DAR-00003-000-00172.jpg	DAR 3: 259v	DAR 00003: 00259V
122308	MS-DAR-00003-000-00173.jpg	DAR 3: 260r	DAR 00003: 00260R
122897	MS-DAR-00003-000-00174.jpg	DAR 3: 260v	DAR 00003: 00260V
122309	MS-DAR-00003-000-00175.jpg	DAR 3: 261r	DAR 00003: 00261R
122898	MS-DAR-00003-000-00176.jpg	DAR 3: 261v	DAR 00003: 00261V
122310	MS-DAR-00003-000-00177.jpg	DAR 3: 262ar	DAR 00003: 00262AR
122900	MS-DAR-00003-000-00178.jpg	DAR 3: 262av	DAR 00003: 00262AV
122311	MS-DAR-00003-000-00179.jpg	DAR 3: 262r	DAR 00003: 00262R
122899	MS-DAR-00003-000-00180.jpg	DAR 3: 262v	DAR 00003: 00262V
122312	MS-DAR-00003-000-00181.jpg	DAR 3: 263r	DAR 00003: 00263R
